Job Title,Company,Location
Restaurant Manager,Restaurant Manager,"Jhamsikhel, Lalitpur"
Finance and Accounts Manager,Finance and Accounts Manager,Kathmandu
Senior Sales and Marketing Officer,Senior Sales and Marketing Officer,Maitidevi
High School Mathematics Teacher,High School Mathematics Teacher,"Naxal, Kathmandu"
Science Teacher - Grade 8,Science Teacher - Grade 8,"Naxal, Kathmandu"
Factory Manager,Factory Manager,"Tokha, Kathmandu"
Staff Nurse / OA,Staff Nurse / OA,"Madhyapur Thimi 1, Lokanthali, Bhaktapur"
ANM / CMA,ANM / CMA,"Madhyapur Thimi 1, Lokanthali, Bhaktapur"
Visa and Client Relations Officer,Visa and Client Relations Officer,"Bagbazar, Kathmandu"
Interior Designer,Interior Designer,"Sankhamul, Kathmandu"
Cafe Supervisor,Cafe Supervisor,"Nag Pokhari, Kathmandu"
Sales and Marketing Representative,Sales and Marketing Representative,"Tinkune-32, Kathmandu"
Sales and Client Acquisition Executive,Sales and Client Acquisition Executive,"Lotse Mall, New Bus Park, Kathmandu, Nepal"
Audit and Advisory Department Head,Audit and Advisory Department Head,"Naryanchaur, Naxal, Kathmandu"
Computer Teacher - Secondary Teacher (Grade 9 and 10),Computer Teacher - Secondary Teacher (Grade 9 and 10),"Hattiban, Lalitpur"
Pre-Primary / Primary Teacher,Pre-Primary / Primary Teacher,"Ravibhawan (Near Machha Gate), Kathmandu"
Accounts and Admin Executive,Accounts and Admin Executive,"Uttardhoka, Kathmandu"
EFX / VFX Artist,EFX / VFX Artist,Sanepa. Lalitpur
Accountant,Accountant,"Maharajung, Chakrapath"
General Manager,General Manager,"Balaju, Kathmandu"
Graphic Designer,Graphic Designer,Maharajung Chakrapath
Front Desk Officer,Front Desk Officer,"Maharajgunj, Chakrapath"
Network Security / Systems Engineer,Network Security / Systems Engineer,Remote work (Work from Home)
Billing Assistant,Billing Assistant,"Thulo Kharibot, New Baneswor, Kathmandu"
Front Desk Officer,Front Desk Officer,"Thulo Kharibot, New Baneswor, Kathmandu"
Admissions and Sales Consultant,Admissions and Sales Consultant,"Lokanthali, Bhaktapur"
Front Desk Assistant,Front Desk Assistant,"Uttardhoka, Kathmandu"
Preschool Teacher,Preschool Teacher,Baneshwor. Kathmandu
Mathematics Teacher,Mathematics Teacher,"Saraswatinagar-6, Kathmandu"
Science Teacher,Science Teacher,"Saraswatinagar-6, Kathmandu"
English Teacher,English Teacher,"Saraswatinagar-6, Kathmandu"
Residential / Hostel Teacher,Residential / Hostel Teacher,"Saraswatinagar-6, Kathmandu"
Front Desk Officer,Front Desk Officer,"Gongabu, Kathmandu"
Admission Coordinator,Admission Coordinator,"Old Baneswor, Kathmandu"
Admin Supervisor,Admin Supervisor,"Old Baneswor, Kathmandu"
Planning Engineer / Contract Manager,Planning Engineer / Contract Manager,Melamchi
Quantity Surveyor and QA/QC Engineer,Quantity Surveyor and QA/QC Engineer,Melamchi
Safety Officer,Safety Officer,Melamchi
Pre-Primary Teacher,Pre-Primary Teacher,"Gothatar 8, Kathmandu"
Secretary to Board,Secretary to Board,Kathmandu
शिक्षक - (करार),शिक्षक - (करार),"Mahottari, Bardibas"
Admin Officer,Admin Officer,"Anamnagar - 29, Kathmandu"
Sales and Marketing Manager,Sales and Marketing Manager,Kathmandu
Accountant,Accountant,"Tripureshwor, Kathmandu"
Senior Accounts and Finance Officer,Senior Accounts and Finance Officer,Kathmandu
Project Officer,Project Officer,Rolpa
Sales Development Representative (SDR),Sales Development Representative (SDR),"Ghattekulo Chowk, Kathmandu"
Primary Teacher - Math / Science,Primary Teacher - Math / Science,"Mid baneshwor, Kathmandu"
Primary Teacher (Home Room),Primary Teacher (Home Room),"Mid baneshwor, Kathmandu"
Graphics Designer,Graphics Designer,"Chandol, Kathmandu"
Customs Clearance Officer,Customs Clearance Officer,Lalitpur
Finance Supervisor,Finance Supervisor,Lalitpur
Data Entry Support,Data Entry Support,Jawalakhel
Accountant - Australian Outsourcing,Accountant - Australian Outsourcing,Tinkune
Java Developer (Spring Boot),Java Developer (Spring Boot),Remote
Electrical Engineer,Electrical Engineer,"Middle Tamor Hydropower Project Site, Taplejung"
Health Promotion Officer,Health Promotion Officer,"Phungling, Taplejung"
Operations In-Charge,Operations In-Charge,"Gongabu, Kathmandu"
शिक्षक,शिक्षक,"मलेखु बजार, धादिङ"
National Campaign Director,National Campaign Director,N/A
Medical Representative (MR),Medical Representative (MR),Kathmandu
Content Creator,Content Creator,"Naxal, Kathmandu"
Sales and Marketing Executive,Sales and Marketing Executive,"Lazimpat, Kathmandu"
Assistant Professor / Lecturer,Assistant Professor / Lecturer,"Kalanki, Bhuwaneshwari Marg, Ward 14"
Accountant,Accountant,"Newroad, Kathmandu"
Marketing Executive,Marketing Executive,"Tahagalli, Kathmandu"
Receptionist,Receptionist,"Tahagalli, Kathmandu"
Receptionist,Receptionist,"Balaju-16, Kathmandu"
Accountant,Accountant,"Balaju-16, Kathmandu"
Senior Accountant,Senior Accountant,"Mandikatar, Kathmandu"
Counselor – India and Philippines,Counselor – India and Philippines,"Putalisadak, Kathmandu"
Study Abroad Counselor,Study Abroad Counselor,"Putalisadak, Kathmandu"
Administration Officer,Administration Officer,"Basundhara, Kathmandu"
Counselor,Counselor,"Putalisadak - 29, Kathmandu"
Content Writer,Content Writer,"Om Kareshwor Marga, Baneshwor"
Primary Teacher,Primary Teacher,"Hattiban, Lalitpur"
Sales and Marketing Executive,Sales and Marketing Executive,"Dhumbarahi, Kathmandu"
Secondary Level Science Teacher,Secondary Level Science Teacher,"Shantinagar, Kathmandu"
Data Protection Policy Resource Person,Data Protection Policy Resource Person,Kathmandu
Office Assistant / Executive,Office Assistant / Executive,"Nagpokhari-02 ,East Gate of Royal Palace Kathmandu"
Farm Office Admin,Farm Office Admin,"Rasanalu, Ramechhap"
Farm Manager,Farm Manager,"Rasanalu, Ramechhap"
Farm Supervisor,Farm Supervisor,"Rasanalu, Ramechhap"
Receptionist,Receptionist,"Ghantaghar, Birgunj"
Steam Coordinator,Steam Coordinator,"Samakhusi Chowk, Tokha – 10, Kathmandu"
Music Teacher,Music Teacher,"Samakhusi Chowk, Tokha – 10, Kathmandu"
Social Studies Teacher (Middle School),Social Studies Teacher (Middle School),"Samakhusi Chowk, Tokha – 10, Kathmandu"
Science Teacher (Middle School),Science Teacher (Middle School),"Samakhusi Chowk, Tokha – 10, Kathmandu"
Project Manager,Project Manager,Pokhara and Biratnagar
Payments Associate – Rider Operations,Payments Associate – Rider Operations,"Kamaladi, Kathmandu"
Business Development Manager,Business Development Manager,Lalitpur
Admin and Account Intern,Admin and Account Intern,"Baluwatar, Kathmandu"
Senior Career Advisor,Senior Career Advisor,Putalisadak
Project Manager,Project Manager,Kathmandu
HR and Administration Officer,HR and Administration Officer,Kathmandu
Call Support Assistant,Call Support Assistant,Kathmandu
Electrical / Mechanical Engineer,Electrical / Mechanical Engineer,"Head Office, Kathmandu and Project Sites"
Civil Engineer,Civil Engineer,"Head Office, Kathmandu and Project Sites"
Business Development Officer,Business Development Officer,"Head Office, Kathmandu"
Nepali Teacher,Nepali Teacher,"Sanepa-2, Lalitpur"
BIM Modeller / Draftsperson,BIM Modeller / Draftsperson,"Buddhanagar, Kathmandu"
Architect,Architect,"Lazimpat-02, Kathmandu"
IT Head / Officer,IT Head / Officer,"Dillibazar, Kathmandu"
Executive Assistant,Executive Assistant,"Bhanimandal, Lalitpur"
Cost / Billing Engineer,Cost / Billing Engineer,"Ruby Valley, Dhading, Nepal"
Program Coordinator,Program Coordinator,"Baneshwor Near Civil Hospital, Kathmandu"
Client Support Representative - Night Shift,Client Support Representative - Night Shift,"Bansbari Road, Kathmandu"
Accountant,Accountant,"Ganeshwor, Kathmandu"
Operations Manager,Operations Manager,"Ganeshwor, Kathmandu"
Human Resources (HR) Officer,Human Resources (HR) Officer,"Baneshwor Near Civil Hospital, Kathmandu"
Business Development Executive,Business Development Executive,"Prayag Marg, Shantinagar"
Technical Writer - Mechanical,Technical Writer - Mechanical,"Buddhanagar, Kathmandu"
Software Developer,Software Developer,"Thapathali, Kathmandu"
Student Support and Administration Officer,Student Support and Administration Officer,Remote
Brand and Creative Lead,Brand and Creative Lead,"New Baneshwor, Kathmandu"
Dispatch Officer,Dispatch Officer,"Bhainsepati, Lalitpur"
Customer Care Officer,Customer Care Officer,"Kamaladi, Kathmandu"
Quality Assurance - Intern,Quality Assurance - Intern,"Pulchowk, Lalitpur"
Sales and Marketing Representative,Sales and Marketing Representative,New Road
Primary Level In-Charge,Primary Level In-Charge,"Lahan, Siraha"
Basic Level Teacher,Basic Level Teacher,"Kupondole, Lalitpur"
Secondary Level Teacher,Secondary Level Teacher,"Kupondole, Lalitpur"
Primary Level Teacher,Primary Level Teacher,"Kupondole, Lalitpur"
Grade Teacher,Grade Teacher,"Kupondole, Lalitpur"
ECA (Extra-Curricular Activities) Teacher,ECA (Extra-Curricular Activities) Teacher,Kunpondole
Public Health Officer,Public Health Officer,"Chandol, Kathmandu"
Business Assistant,Business Assistant,"Chandol, Kathmandu"
Front Desk / Receptionist,Front Desk / Receptionist,"Satdobato, Lalitpur"
Senior Counselor – Australia and New Zealand,Senior Counselor – Australia and New Zealand,"New Baneshwor, Kathmandu"
Plant Operator - Hydro Power,Plant Operator - Hydro Power,"Mailung, Rasuwa"
Admin and Finance Officer,Admin and Finance Officer,"Mid-Baneshwor, Kathmandu"
Operations In-Charge,Operations In-Charge,"Kageshwori, Manohara -9, Kathmandu"
Sales Manager - Modern Trade,Sales Manager - Modern Trade,"Bagdol, Lalitpur"
Business Development Specialist / Learning and Development Coordinator,Business Development Specialist / Learning and Development Coordinator,Remote
Front Desk Officer,Front Desk Officer,"New Baneshwor, Kathmandu"
Test Preparation Coach,Test Preparation Coach,"Putalisadak, Kathmandu"
Teacher / Lecturer - IT,Teacher / Lecturer - IT,"Birgunj15, Parsa"
Admin Assistant,Admin Assistant,Kathmandu
Receptionist,Receptionist,Kathmandu
Telemarketing Officer,Telemarketing Officer,"Putalisadak - 28, Kathmandu"
Primary English Teacher,Primary English Teacher,"Satungal, Chandragiri -10, Kathmandu, Nepal"
IT Assistant,IT Assistant,"Tripureshwor, Kathmandu"
Guest Experience and Property Coordinator,Guest Experience and Property Coordinator,"Karwaan, Lalu Pate Marg, Hattisar"
Video Editor,Video Editor,"Bagbazar, Kathmandu"
Customer Service Executive,Customer Service Executive,Remote
Backend Developer,Backend Developer,Remote
Junior Frontend Developer (UI & Interfaces),Junior Frontend Developer (UI & Interfaces),Remote
Product Listing and Management,Product Listing and Management,Remote
Accountant,Accountant,Pokhara
Manager,Manager,Pokhara
Senior Advisor,Senior Advisor,Dhulikhel
Mechanical Foreman/Mechanical Sub-Overseer,Mechanical Foreman/Mechanical Sub-Overseer,Myagdi
